=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ctk_base_class.py:23(CTkBaseClass)
       10    0.000    0.000    0.000    0.000 ctk_font.py:60(create_scaled_tuple)
        6    0.000    0.000    0.000    0.000 ctk_image.py:79(_check_images)
        6    0.000    0.000    0.000    0.000 mockup_view.py:9376(_close_preview)
        6    0.000    0.000    0.000    0.000 mockup_view.py:10967(<genexpr>)
       22    0.000    0.000    0.000    0.000 document_view.py:1029(add_click_region)
        4    0.000    0.000    0.000    0.000 ctk_base_class.py:323(grid_forget)
       22    0.000    0.000    0.000    0.000 mockup_view.py:1532(add_click_region)
        6    0.000    0.000    0.000    0.000 ctk_image.py:94(_get_scaled_size)
        6    0.000    0.000    0.000    0.000 mockup_view.py:5383(_close_manage_dialog)
        4    0.000    0.000    0.000    0.000 mockup_view.py:2895(<genexpr>)
        2    0.000    0.000    0.000    0.000 mockup_view.py:7738(_sanitize_page_selection)
        6    0.000    0.000    0.000    0.000 mockup_view.py:8889(_close_recto_verso_dialog)
        4    0.000    0.000    0.000    0.000 mockup_view.py:8389(_recto_verso_rules)
       10    0.000    0.000    0.000    0.000 mockup_view.py:5660(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
        4    0.000    0.000    0.000    0.000 document_view.py:1431(_project_type_key)
        4    0.000    0.000    0.000    0.000 mockup_view.py:5611(<genexpr>)
        6    0.000    0.000    0.000    0.000 ctk_image.py:45(add_configure_callback)
        4    0.000    0.000    0.000    0.000 document_view.py:3136(group_title)
        8    0.000    0.000    0.000    0.000 document_view.py:1066(<genexpr>)
       10    0.000    0.000    0.000    0.000 ctk_font.py:49(add_size_configure_callback)
        8    0.000    0.000    0.000    0.000 mockup_view.py:1606(<genexpr>)
        2    0.000    0.000    0.000    0.000 mockup_view.py:10118(_on_root_destroyed)
        4    0.000    0.000    0.000    0.000 mockup_view.py:2887(<genexpr>)
        8    0.000    0.000    0.000    0.000 mockup_view.py:8980(<genexpr>)
        8    0.000    0.000    0.000    0.000 document_view.py:1072(<genexpr>)
        8    0.000    0.000    0.000    0.000 mockup_view.py:1618(<genexpr>)
        6    0.000    0.000    0.000    0.000 ctk_image.py:38(_check_pil_import)
       18    0.000    0.000    0.000    0.000 document_view.py:1301(<genexpr>)
        1    0.000    0.000    0.000    0.000 resize_command.py:7(ResizeCommand)
       18    0.000    0.000    0.000    0.000 mockup_view.py:2001(<genexpr>)
        1    0.000    0.000    0.000    0.000 document_view.py:77(RenamePageDialog)
        1    0.000    0.000    0.000    0.000 ctk_tk.py:257(_disable_macos_dark_title_bar)
        2    0.000    0.000    0.000    0.000 mockup_view.py:7451(_hide_page_drop_indicator)
        4    0.000    0.000    0.000    0.000 ctk_base_class.py:138(cget)
        1    0.000    0.000    0.000    0.000 ctk_tk.py:249(_enable_macos_dark_title_bar)
        2    0.000    0.000    0.000    0.000 document_view.py:1809(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'interpaddr' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.000    0.000 mockup_view.py:2146(_project_type_key)


