=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.695    0.058 mockup_view.py:6204(_refresh_plan_background)
     3282    0.004    0.000    0.684    0.000 __init__.py:3025(create_text)
      374    0.005    0.000    0.603    0.002 ctk_base_class.py:113(configure)
       20    0.001    0.000    0.578    0.029 dashboard_view.py:1962(_paint_rounded_card)
        6    0.000    0.000    0.561    0.093 mockup_view.py:1554(on_click)
        6    0.000    0.000    0.561    0.093 document_view.py:5065(_close_mockup)
        6    0.000    0.000    0.560    0.093 mockup_view.py:534(hide)
        8    0.000    0.000    0.559    0.070 __init__.py:1166(lower)
     2634    0.014    0.000    0.544    0.000 ctk_canvas.py:73(create_aa_circle)
     3944    0.076    0.000    0.532    0.000 __init__.py:848(after)
      318    0.002    0.000    0.508    0.002 ctk_label.py:164(destroy)
    80/60    0.002    0.000    0.507    0.008 ctk_frame.py:134(configure)
    12128    0.032    0.000    0.505    0.000 __init__.py:2978(coords)
      820    0.014    0.000    0.498    0.001 ctk_label.py:176(_draw)
    28216    0.234    0.000    0.494    0.000 __init__.py:1638(_options)
     1922    0.038    0.000    0.465    0.000 ctk_canvas.py:103(itemconfig)
        2    0.000    0.000    0.445    0.222 document_view.py:558(show)
     3680    0.100    0.000    0.444    0.000 __init__.py:1717(_substitute)




=== FILTRE PAGEMAITRE / TK / CTK ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 278 due to restriction <'mockup_view|document_view|customtkinter|ctk_|tkinter|update_idletasks|resize'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  114.576  114.576 ctk_tk.py:159(mainloop)
        1   96.528   96.528  113.381  113.381 {method 'mainloop' of '_tkinter.tkapp' objects}
98969/65768    9.839    0.000   12.273    0.000 {method 'call' of '_tkinter.tkapp' objects}
    49/31    0.000    0.000    5.573    0.180 __init__.py:1469(update_idletasks)
        8    0.000    0.000    5.398    0.675 document_view.py:1040(on_click)
       10    0.013    0.001    3.911    0.391 document_view.py:2861(draw_wall)
    36/20    0.001    0.000    3.826    0.191 ctk_scrollbar.py:135(_draw)
  447/253    0.012    0.000    3.431    0.014 Image.py:2329(resize)
        7    0.000    0.000    3.225    0.461 document_view.py:5047(_open_mockup)
      253    3.180    0.013    3.180    0.013 {method 'resize' of 'ImagingCore' objects}
        7    0.002    0.000    3.172    0.453 mockup_view.py:374(show)
    24/14    0.000    0.000    2.181    0.156 ctk_scrollbar.py:292(set)
      176    0.034    0.000    2.169    0.012 document_view.py:2458(draw_page)
        1    0.000    0.000    2.096    2.096 document_view.py:5007(_return_home)
