=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.335    0.028 dashboard_view.py:1962(_paint_rounded_card)
        6    0.000    0.000    0.334    0.056 mockup_view.py:5812(_refresh_plan_background)
        1    0.000    0.000    0.333    0.333 navigation.py:1(<module>)
     1538    0.009    0.000    0.328    0.000 ctk_canvas.py:73(create_aa_circle)
        2    0.002    0.001    0.323    0.162 main_window.py:85(_maximize_window)
     7032    0.020    0.000    0.313    0.000 __init__.py:2978(coords)
      488    0.009    0.000    0.310    0.001 ctk_label.py:176(_draw)
      184    0.001    0.000    0.308    0.002 ctk_label.py:164(destroy)
        1    0.000    0.000    0.284    0.284 ctk_tk.py:1(<module>)
    15798    0.131    0.000    0.276    0.000 __init__.py:1638(_options)
     1132    0.023    0.000    0.276    0.000 ctk_canvas.py:103(itemconfig)
     2089    0.058    0.000    0.256    0.000 __init__.py:1717(_substitute)
        2    0.000    0.000    0.237    0.118 workspace.py:1(<module>)
        1    0.000    0.000    0.236    0.236 document_view.py:558(show)
        1    0.001    0.001    0.231    0.231 document_view.py:1885(_create_main_workspace)
        3    0.000    0.000    0.224    0.075 ctk_scrollable_frame.py:102(destroy)
     2554    0.004    0.000    0.218    0.000 __init__.py:1815(configure)
        1    0.000    0.000    0.217    0.217 ctk_button.py:1(<module>)
        2    0.000    0.000    0.213    0.106 mockup_view.py:443(redraw_background)
        1    0.000    0.000    0.210    0.210 dashboard_view.py:389(_create_project_type_card)
        1    0.000    0.000    0.195    0.195 dashboard_view.py:1179(_create_active_project_panel)
        1    0.000    0.000    0.181    0.181 dashboard_view.py:817(_create_recent_panel)
        1    0.000    0.000    0.174    0.174 document_editor_view.py:1(<module>)
        1    0.000    0.000    0.168    0.168 dashboard_view.py:223(_create_header)
        2    0.001    0.000    0.168    0.084 mockup_view.py:1742(redraw)
